t,OIOpen,OIHigh,OILow,OIClose,open,high,low,close,Volume,bv,tx,btx,PFopen,PFhigh,PFlow,PFclose,LL,LS
2023-06-16 18:31:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9219999999999999,0.0
2023-06-16 18:32:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.0
2023-06-16 18:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.242,0.0
2023-06-16 18:44:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.052
2023-06-16 18:46:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.29
2023-06-16 18:47:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8529999999999995
2023-06-16 18:49:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.161
2023-06-16 19:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009
2023-06-16 19:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0
2023-06-16 19:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.684,0.0
2023-06-16 19:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0.0
2023-06-16 19:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0.0
2023-06-16 19:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0.0
2023-06-16 19:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0.0
2023-06-16 19:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.135
2023-06-16 19:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23199999999999998
2023-06-16 19:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.428
2023-06-16 19:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.051
2023-06-16 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10600000000000001
2023-06-16 20:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.063
2023-06-16 20:41:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.001
2023-06-16 20:52:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5
2023-06-16 20:53:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.003
2023-06-16 20:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.764
2023-06-16 20:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.229
2023-06-16 21:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6809999999999999,0.0
